Curve,X,Y
0,58.118046317669524,39.12256984887357
0,58.06539466472924,39.18310062084868
0,58.0129041440615,39.24345959871364
0,57.96057460003424,39.30364696529235
0,57.90840587701547,39.363662903408695
0,57.85639781937307,39.423507595886555
0,57.804550271475,39.48318122554983
0,57.75286307768921,39.542683975222396
0,57.701336082383634,39.60201602772812
0,57.64996912992623,39.66117756589092
0,57.59876206468494,39.72016877253467
0,57.54771473102771,39.77898983048326
0,57.496826973322484,39.83764092256057
0,57.44609863593717,39.896122231590475
0,57.39552956323977,39.95443394039689
0,57.34511959959819,40.012576231803685
0,57.2948685893804,40.07054928863475
0,57.244776376954334,40.12835329371398
0,57.19484280668791,40.18598842986521
0,57.145067722949115,40.24345487991241
0,57.09545097010587,40.30075282667941
0,57.045992392526124,40.35788245299011
0,56.99669183457783,40.414843941668394
0,56.94754914062891,40.471637475538145
0,56.898564155047325,40.52826323742327
0,56.84973672220101,40.58472141014763
0,56.80106668645793,40.64101217653512
0,56.75255389218601,40.697135719409644
0,56.70419818375318,40.75309222159505
0,56.65599940552742,40.80888186591526
0,56.60795740187666,40.86450483519415
0,56.56007201716884,40.919961312255595
0,56.512343095771904,40.97525147992351
0,56.46477048205379,41.030375521021725
0,56.41735402038246,41.08533361837419
0,56.370093555125855,41.140125954804766
0,56.32298893065191,41.194752713137326
0,56.27603999132858,41.24921407619577
0,56.229246581523775,41.303510226803965
0,56.18260854560548,41.35764134778584
0,56.136125727941646,41.41160762196525
0,56.08979797290017,41.465409232166074
0,56.043625124849044,41.51904636121224
0,55.997607028156175,41.57251919192757
0,55.951743527189535,41.625827907136006
0,55.90603446631705,41.67897268966142
0,55.86047968990669,41.73195372232769
0,55.81507904232635,41.78477118795869
0,55.769832367944026,41.83742526937834
0,55.72473951112766,41.889916149410496
0,55.67980031624515,41.942244010879065
0,55.63501462766449,41.99440903660793
0,55.59038228975357,42.046411409420955
0,55.5459031468804,42.098251312142054
0,55.50157704341289,42.149928927595106
0,55.45740382371898,42.201444438603986
0,55.41338333216661,42.2527980279926
0,55.36951541312373,42.30398987858481
0,55.3257999109583,42.35502017320452
0,55.28223667003826,42.40588909467561
0,55.238825534731546,42.456596825821975
0,55.195566349406114,42.507143549467486
0,55.15245895842987,42.557529448436036
0,55.10950320617079,42.60775470555152
0,55.06669893699684,42.657819503637825
0,55.024045995275934,42.707724025518814
0,54.98154422537602,42.75746845401841
0,54.93919347166502,42.80705297196045
0,54.89699357851093,42.85647776216887
0,54.85494439028165,42.905743007467535
0,54.81304575134517,42.954848890680324
0,54.77129750606939,43.003795594631136
0,54.72969949882224,43.05258330214384
0,54.688251573971726,43.101212196042354
0,54.64695357588576,43.14968245915054
0,54.60580534893229,43.197994274292284
0,54.56480673747924,43.24614782429147
0,54.52395758589457,43.294143291972006
0,54.48325773854624,43.34198086015777
0,54.44270703980219,43.389660711672626
